AD_ax (m/s^2),AD_ay (m/s^2),AD_az (m/s^2)
5.198479081413183260e-03,5.023742736791245514e-03,7.927308686814021552e-03
3.681222752767413561e-03,3.561955642517807951e-03,5.626236304868748039e-03
3.017508574305816354e-03,2.898156417667176708e-03,4.590112168890476615e-03
2.611701416478726199e-03,2.504439971427959138e-03,3.980516862682524290e-03
2.306919030135991516e-03,2.238276152662560959e-03,3.584853263703394015e-03
2.121740796142885556e-03,2.044690438033301520e-03,3.280830074447895102e-03
1.956222089020443443e-03,1.896130824989759227e-03,3.008506337106411563e-03
1.828752059217494952e-03,1.774923728533686585e-03,2.822204211838866793e-03
1.733070967772979993e-03,1.666232122221310242e-03,2.644188241590361872e-03
1.642095335205903282e-03,1.584293406617794412e-03,2.523281653632533129e-03
1.563232595193792158e-03,1.496083044718223964e-03,2.405896518753315727e-03
1.501692434390213471e-03,1.444455540066264150e-03,2.306061450245012589e-03
1.432753300559447057e-03,1.363360251728657326e-03,2.214058586908777305e-03
1.367739899258801949e-03,1.337544970892603048e-03,2.150908557613169601e-03
1.334695219349791694e-03,1.286254628371788543e-03,2.068241407591849771e-03
1.296364576131430694e-03,1.235993111503434858e-03,2.000801369588687748e-03
1.254970808311881188e-03,1.209674715512645436e-03,1.946624653208888986e-03
1.211113737578798808e-03,1.179381938294388329e-03,1.905784080649541943e-03
1.181972354133988294e-03,1.132076517938124987e-03,1.844584810724852293e-03
1.145745315902463573e-03,1.110935261774311823e-03,1.773583609306108623e-03
1.124226502797056465e-03,1.088218893911137557e-03,1.737301843234715249e-03
1.092498179627042531e-03,1.069137943343209706e-03,1.713024736593607780e-03
1.073848937444465013e-03,1.040646439202806825e-03,1.689507954624007045e-03
1.057982423416314009e-03,1.015923780859222291e-03,1.672121247609688549e-03
1.031773145088455074e-03,9.957864989581074935e-04,1.598046271340777423e-03
1.015153973945056741e-03,9.803334529886636225e-04,1.585094363742581411e-03
1.005575585611016365e-03,9.633059984391508217e-04,1.535993006268406838e-03
9.877725187299438072e-04,9.371058405050631526e-04,1.527845730183854684e-03
9.603545393579561527e-04,9.304774121713696011e-04,1.482492774389874458e-03
9.468076745523791539e-04,9.219474069907116409e-04,1.478419737707717526e-03
9.245403605454380769e-04,8.995838452833173227e-04,1.448494142154482236e-03
9.028221950340177548e-04,8.881280116421845765e-04,1.431092000282572054e-03
8.990978309338161804e-04,8.684897650565428151e-04,1.385208615348522323e-03
9.035028699181621740e-04,8.551789824972274049e-04,1.387082199492629432e-03
9.027976349559650813e-04,8.487066514246699184e-04,1.343492686984505691e-03
8.531808916314074197e-04,8.363211865033532387e-04,1.340222063396537657e-03
8.583125815856480940e-04,8.271299338375595958e-04,1.328183852767020985e-03
8.419528951137466655e-04,8.166737886434881528e-04,1.310562627966144287e-03
8.328037252975510922e-04,8.058824548324570233e-04,1.302421733315908001e-03
8.167188319474269877e-04,8.072842675529166888e-04,1.291034419950143168e-03
8.126409716638419416e-04,7.746882430279888399e-04,1.248373706321575334e-03
8.057608590096828130e-04,7.893482862893477434e-04,1.248849035838376980e-03
7.991965335623778298e-04,7.542563396304847838e-04,1.233490081872492573e-03
7.808324260922279826e-04,7.612139461260317456e-04,1.181407966342297618e-03
7.803420788651074282e-04,7.431164773724833854e-04,1.221093952085228283e-03
7.694902273753887606e-04,7.351905365530328387e-04,1.189613997476735930e-03
7.536340312905966208e-04,7.333322898359510887e-04,1.183122233105297211e-03
7.490538102241978049e-04,7.329012713546916415e-04,1.170784103505511471e-03
7.508784124251435864e-04,7.132276270940975495e-04,1.133788315782565618e-03
7.353689059452158967e-04,7.091686720736100182e-04,1.153762770326069876e-03
7.436165551263142779e-04,7.110752043102676291e-04,1.125835885149082012e-03
7.142073722828464919e-04,6.950656447133158559e-04,1.113958831333961919e-03
7.107482617742398503e-04,6.893772108543182956e-04,1.108140833978439339e-03
7.188889214159860375e-04,6.899450919141459672e-04,1.077995880462854529e-03
7.109296836122457053e-04,6.784045806197617611e-04,1.081072033827124891e-03
6.979747714011768451e-04,6.772235395191470407e-04,1.073756118486422642e-03
