AD_wx (rad/s),AD_wy (rad/s),AD_wz (rad/s)
7.274485742930834713e-04,7.249011130549261155e-04,7.264296100095554622e-04
5.118524395648703200e-04,5.145191500925544448e-04,5.148304190671369783e-04
4.180692198280443021e-04,4.171366299158312191e-04,4.210395498424596540e-04
3.620442276402467728e-04,3.621690668957874338e-04,3.634007405242007131e-04
3.234687728858642907e-04,3.246571558912233297e-04,3.241145861845070968e-04
2.957103101208221696e-04,2.962163665983544541e-04,2.979983794738885663e-04
2.739659579340799700e-04,2.755457514337933682e-04,2.745150820734260414e-04
2.566747947277485376e-04,2.570287251931914333e-04,2.559760977030384665e-04
2.432162289982062317e-04,2.444453701414125101e-04,2.440786820655903712e-04
2.307395270921194503e-04,2.298786454740953534e-04,2.302576482725364698e-04
2.196827580080524460e-04,2.203357606360629756e-04,2.190294996405753932e-04
2.106651891595829251e-04,2.105897902850527434e-04,2.114542763611912814e-04
2.007786044174334286e-04,2.010366657801065601e-04,2.020075116561942255e-04
1.921032777665423520e-04,1.965864700428431402e-04,1.941691354735842860e-04
1.873081593243149340e-04,1.906332054799070178e-04,1.885445136628951125e-04
1.820497749568084599e-04,1.846278324989002802e-04,1.827373277888648265e-04
1.760064294511914408e-04,1.789699781133870379e-04,1.772260195114432155e-04
1.718621405823026371e-04,1.722133653887370343e-04,1.749355018860641257e-04
1.663777886922837329e-04,1.682826929141163427e-04,1.694115806293667518e-04
1.616397824929395187e-04,1.655316566500141602e-04,1.633059382216437230e-04
1.561942707967339296e-04,1.616648244076878977e-04,1.584262067874490389e-04
1.552243085084025300e-04,1.565848066662250862e-04,1.552035650622398896e-04
1.519175662936190965e-04,1.525510400454412844e-04,1.537888913330744589e-04
1.497582794361865092e-04,1.509802908551519422e-04,1.503732282339132734e-04
1.465848354806368811e-04,1.461695802139486124e-04,1.458092400864640823e-04
1.433719984517320661e-04,1.443185263345267942e-04,1.459352990213275874e-04
1.409363900402877540e-04,1.410023173784311968e-04,1.391776733848810175e-04
1.382438975469165614e-04,1.418042444485936773e-04,1.387821042084202950e-04
1.362453695860047658e-04,1.359952885002751034e-04,1.363143640032579923e-04
1.335086732350488823e-04,1.325255431790496271e-04,1.347139183074887083e-04
1.316641976221458936e-04,1.318517519428534100e-04,1.307239009613727970e-04
1.292867164492282541e-04,1.312952982251620090e-04,1.301916744942155401e-04
1.260930419507804150e-04,1.281329982064281184e-04,1.264860762008549876e-04
1.255094615585427089e-04,1.264151390221505641e-04,1.262046944433809870e-04
1.256230583108005510e-04,1.220345294213752061e-04,1.232235054779244057e-04
1.206176965510489233e-04,1.209613460561241550e-04,1.228279876331251795e-04
1.188724345573472153e-04,1.212636531167233904e-04,1.198276915527279548e-04
1.177724012502904638e-04,1.170183745001334699e-04,1.195519221238580465e-04
